	|||		|||	
that ~be part of that one	|||	pro;dem|that cop|~be n|part prep|of pro;dem|that pro;indef|one	|||	that 's part of that one
it must be the top to the sugar dish	|||	pro;per|it mod|must cop|be det;art|the adj|top prep|to det;art|the n|sugar n|dish	|||	it must be the top to the sugar dish
what does this mean	|||	pro;int|what mod|do-3S pro;dem|this adj|mean	|||	what does this mean
do ~not you think he ~be too young	|||	mod|do neg|~not pro;per|you v|think pro;sub|he cop|~be adv|too adj|young	|||	don 't you think he 's too young
if you ate all of those animals certainly you must have a big tummy ache	|||	conj|if pro;per|you v|eat-PAST qn|all prep|of pro;dem|those n|animal-PL adv|certain-dadj pro;per|you mod|must v|have det;art|a adj|big n|tummy n|ache	|||	if you ate all of those animals certainly you must have a big tummy ache
well tell us what did you see	|||	co|well v|tell pro;obj|us pro;int|what mod|do-PAST pro;per|you v|see	|||	well tell us what did you see
you ~be going to do what	|||	pro;per|you aux|~be part|go-PRESP inf|to v|do pro;int|what	|||	you 're going to do what
yes take a picture of me	|||	co|yes v|take det;art|a n|picture prep|of pro;obj|me	|||	yes take a picture of me
oh he can ~not bite you	|||	co|oh pro;sub|he mod|can neg|~not v|bite pro;per|you	|||	oh he can 't bite you
may I see that	|||	mod|may pro;sub|I v|see pro;dem|that	|||	may I see that
he should ~not have holded held his horses	|||	pro;sub|he mod|should neg|~not aux|have part|hold-PASTP part|hold-PASTP det;poss|his n|horse-PL	|||	he shouldn 't have holded held his horses
Paul are you going to sleep in the bed because you ~be tired	|||	n;prop|Paul aux|be-PRES pro;per|you part|go-PRESP prep|to n|sleep prep|in det;art|the n|bed conj|because pro;per|you cop|~be part|tire-PASTP	|||	Paul are you going to sleep in the bed because you 're tired
what d doyou do you think he ~be saying	|||	pro;int|what mod|do v;per|do+you v|do pro;per|you v|think pro;sub|he aux|~be part|say-PRESP	|||	what d you do you think he 's saying
that ~be a good one	|||	pro;dem|that cop|~be det;art|a adj|good pro;indef|one	|||	that 's a good one
oh I do ~not think they would though would they	|||	co|oh pro;sub|I mod|do neg|~not v|think pro;sub|they mod|will-COND adv|though mod|will-COND pro;sub|they	|||	oh I don 't think they would though would they
when you take those it comes apart	|||	conj|when pro;per|you v|take pro;dem|those pro;per|it v|come-3S adv|apart	|||	when you take those it comes apart
what did happen to you	|||	pro;int|what mod|do-PAST v|happen prep|to pro;per|you	|||	what did happen to you
her girl is talking to Adam	|||	det;poss|her n|girl aux|be-3S part|talk-PRESP prep|to n;prop|Adam	|||	her girl is talking to Adam
for making the	|||	prep|for part|make-PRESP det;art|the	|||	for making the
just a minute	|||	adv|just det;art|a n|minute	|||	just a minute
or did you say I want a watch	|||	coord|or v|do-PAST pro;per|you v|say pro;sub|I v|want det;art|a n|watch	|||	or did you say I want a watch
were you on a farm Adam	|||	cop|be-PAST pro;per|you prep|on det;art|a n|farm n;prop|Adam	|||	were you on a farm Adam
what will ~not break	|||	pro;int|what mod|will neg|~not v|break	|||	what won 't break
oh they sell ham	|||	co|oh pro;sub|they v|sell n|ham	|||	oh they sell ham
it ~be something you ~have seen	|||	pro;per|it aux|~be pro;indef|something pro;per|you aux|~have part|see-PASTP	|||	it 's something you 've seen
but this is peace time	|||	conj|but pro;dem|this cop|be-3S n|peace n|time	|||	but this is peace time
oh my that elephant can see everything can ~not he	|||	co|oh det;poss|my pro;dem|that n|elephant mod|can v|see pro;indef|everything mod|can neg|~not pro;sub|he	|||	oh my that elephant can see everything can 't he
I like this one	|||	pro;sub|I v|like pro;dem|this pro;indef|one	|||	I like this one
oh at school	|||	co|oh prep|at n|school	|||	oh at school
oh you left your germs out	|||	co|oh pro;per|you v|leave-PAST det;poss|your n|germ-PL adv|out	|||	oh you left your germs out
oh bandana oh this must be a cowboy	|||	co|oh n|bandana co|oh pro;dem|this mod|must cop|be det;art|a n|cow+boy	|||	oh bandana oh this must be a cowboy
down the meat	|||	prep|down det;art|the n|meat	|||	down the meat
the hitch be ~not on properly	|||	det;art|the n|hitch cop|be neg|~not adv|on adv|proper-dadj	|||	the hitch wasn 't on properly
we do ~not have_to	|||	pro;sub|we mod|do neg|~not mod;aux|have_to	|||	we don 't have_to
eat supper	|||	v|eat n|supper	|||	eat supper
he can ~not play well yet	|||	pro;sub|he mod|can neg|~not v|play adv|well adv|yet	|||	he can 't play well yet
is it a crow	|||	aux|be-3S pro;per|it det;art|a n|crow	|||	is it a crow
Adam you ~genmod better put the cover on first	|||	n;prop|Adam pro;per|you mod|~genmod adj|good-CP v|put-ZERO det;art|the n|cover adv|on adv|first	|||	Adam you 'd better put the cover on first
why do ~not you come over here and do that to your paper	|||	adv;int|why mod|do neg|~not pro;per|you v|come adv|over adv|here coord|and v|do pro;dem|that prep|to det;poss|your n|paper	|||	why don 't you come over here and do that to your paper
I do ~not think you need any more honey	|||	pro;sub|I mod|do neg|~not v|think pro;per|you v|need qn|any qn|more n|honey	|||	I don 't think you need any more honey
that ~be not a lobster	|||	pro;dem|that cop|~be neg|not det;art|a n|lobster	|||	that 's not a lobster
why do ~not you know how	|||	adv;int|why mod|do neg|~not pro;per|you v|know adv;int|how	|||	why don 't you know how
a ride	|||	det;art|a n|ride	|||	a ride
it do ~not look like anything	|||	pro;per|it mod|do neg|~not cop|look conj|like pro;indef|anything	|||	it doesn 't look like anything
how would that help	|||	adv;int|how mod|will-COND pro;rel|that co|help	|||	how would that help
is it sunny outside	|||	aux|be-3S pro;per|it adj|sun-dn adv|outside	|||	is it sunny outside
little soda water	|||	adj|little n|soda n|water	|||	little soda water
listening to something	|||	part|listen-PRESP prep|to pro;indef|something	|||	listening to something
a d a m	|||	n;let|a n;let|d n;let|a n;let|m	|||	a d a m
you take one and your mother takes one	|||	pro;per|you v|take det;num|one coord|and det;poss|your n|mother v|take-3S pro;indef|one	|||	you take one and your mother takes one
you are a silly boy	|||	pro;per|you cop|be-PRES det;art|a adj|silly n|boy	|||	you are a silly boy
you almost stepped on your finger	|||	pro;per|you adv|almost part|step-PASTP prep|on det;poss|your n|finger	|||	you almost stepped on your finger
looks like a road	|||	cop|look-3S prep|like det;art|a n|road	|||	looks like a road
Perro ~s what	|||	n;prop|Perro poss|~s pro;int|what	|||	Perro 's what
I do ~not talk to you like that	|||	pro;sub|I mod|do neg|~not v|talk prep|to pro;per|you co|like pro;dem|that	|||	I don 't talk to you like that
you do ~not need a fire truck	|||	pro;per|you mod|do neg|~not v|need det;art|a n|fire n|truck	|||	you don 't need a fire truck
where ~be the a	|||	adv;int|where cop|~be det;art|the n;let|a	|||	where 's the a
so she ~will remember what we ~be all saying	|||	adv|so pro;sub|she mod|~will v|remember pro;int|what pro;sub|we aux|~be post|all part|say-PRESP	|||	so she 'll remember what we 're all saying
let ~us put the buttons back first	|||	v;obj|let pro;obj|~us v|put-ZERO det;art|the n|button-PL adv|back adv|first	|||	let 's put the buttons back first
oh Adam he has_to be saying something	|||	co|oh n;prop|Adam pro;sub|he mod;aux|has_to cop|be n;gerund|say-PRESP pro;indef|something	|||	oh Adam he has_to be saying something
where did you see pigs	|||	adv;int|where mod|do-PAST pro;per|you v|see n|pig-PL	|||	where did you see pigs
more coffee	|||	qn|more n|coffee	|||	more coffee
oh I wonder what this is	|||	co|oh pro;sub|I v|wonder pro;int|what pro;dem|this cop|be-3S	|||	oh I wonder what this is
d you have_to drink the water	|||	mod|do pro;per|you mod;aux|have_to v|drink det;art|the n|water	|||	d you have_to drink the water
hopping by what	|||	part|hop-PRESP prep|by pro;int|what	|||	hopping by what
is that a real phone Adam	|||	cop|be-3S pro;rel|that det;art|a adj|real n|phone n;prop|Adam	|||	is that a real phone Adam
careful with your pencil honey	|||	co|careful prep|with det;poss|your n|pencil n|honey	|||	careful with your pencil honey
can you say	|||	mod|can pro;per|you v|say	|||	can you say
at Barney ~s house	|||	prep|at n;prop|Barney poss|~s n|house	|||	at Barney 's house
oh what ~be you doing to do	|||	co|oh pro;int|what aux|~be pro;per|you part|do-PRESP inf|to v|do	|||	oh what 're you doing to do
you look very elegant	|||	pro;per|you cop|look adv|very adj|elegant	|||	you look very elegant
I moved the microphone	|||	pro;sub|I v|move-PAST det;art|the n|microphone	|||	I moved the microphone
what is the pencil	|||	pro;int|what cop|be-3S det;art|the n|pencil	|||	what is the pencil
that ~be what I thought	|||	pro;dem|that cop|~be pro;int|what pro;sub|I v|think-PAST	|||	that 's what I thought
why is he so happy	|||	adv;int|why cop|be-3S pro;sub|he adv|so adj|happy	|||	why is he so happy
well do ~not you say there was a nail in there	|||	co|well mod|do neg|~not pro;per|you v|say adv|there cop|be-PAST det;art|a n|nail prep|in adv|there	|||	well didn 't you say there was a nail in there
what germ are you checking how Doctor	|||	pro;int|what n|germ aux|be-PRES pro;per|you n;gerund|check-PRESP adv;int|how n;prop|Doctor	|||	what germ are you checking how Doctor
it ~be just sitting there waiting for you to use it	|||	pro;per|it cop|~be adj|just part|sit-PRESP adv|there part|wait-PRESP prep|for pro;per|you inf|to v|use pro;per|it	|||	it 's just sitting there waiting for you to use it
I know we need a little saucer or dish to pour some in	|||	pro;sub|I v|know pro;sub|we v|need det;art|a adj|little n|saucer coord|or n|dish inf|to v|pour qn|some adv|in	|||	I know we need a little saucer or dish to pour some in
like penguins	|||	prep|like n|penguin-PL	|||	like penguins
well he was dreaming	|||	co|well pro;sub|he aux|be-PAST part|dream-PRESP	|||	well he was dreaming
what did you say when	|||	pro;int|what mod|do-PAST pro;per|you co|say conj|when	|||	what did you say when
dog ~s home	|||	n|dog poss|~s n|home	|||	doggie 's home
d you make flowers like that at school	|||	mod|do pro;per|you v|make n|flower-PL prep|like pro;dem|that prep|at n|school	|||	d you make flowers like that at school
doughnut get you	|||	n|doughnut aux|get pro;per|you	|||	doughnut get you
please give it to him	|||	co|please v|give pro;per|it prep|to pro;obj|him	|||	please give it to him
oh just like the cowboy ~s	|||	co|oh adv|just prep|like det;art|the n|cow+boy poss|~s	|||	oh just like the cowboy 's
which bench	|||	pro;rel|which n|bench	|||	which bench
wipe the blade	|||	v|wipe det;art|the n|blade	|||	wipe the blade
it ~be going to be a huge carrot	|||	pro;per|it aux|~be part|go-PRESP inf|to cop|be det;art|a adj|huge n|carrot	|||	it 's going to be a huge carrot
but what ~s his name	|||	conj|but pro;int|what poss|~s det;poss|his n|name	|||	but what 's his name
it ~be a cough drop	|||	pro;per|it cop|~be det;art|a n|cough n|drop	|||	it 's a cough drop
would you like some help to put that together	|||	mod|will-COND pro;per|you v|like qn|some n|help inf|to v|put-ZERO pro;dem|that adv|together	|||	would you like some help to put that together
on your foot	|||	prep|on det;poss|your n|foot	|||	on your foot
here ~be the parade	|||	pro;exist|here cop|~be det;art|the n|parade	|||	here 's the parade
write on the paper	|||	v|write prep|on det;art|the n|paper	|||	write on the paper
that ~be better	|||	pro;dem|that cop|~be adj|good-CP	|||	that 's better
oh is that what she told you	|||	co|oh cop|be-3S pro;dem|that pro;int|what pro;sub|she v|tell-PAST pro;per|you	|||	oh is that what she told you
be ~not it	|||	cop|be neg|~not pro;per|it	|||	isn 't it
any way you wish dear	|||	qn|any n|way pro;per|you v|wish co|dear	|||	any way you wish dear
what do you go to school for	|||	pro;int|what mod|do pro;per|you v|go prep|to n|school prep|for	|||	what do you go to school for
let her write Adam	|||	v|let-ZERO pro;obj|her v|write n;prop|Adam	|||	let her write Adam
no zoo	|||	qn|no n|zoo	|||	no zoo
it ~be two pieces	|||	pro;per|it aux|~be det;num|two n|piece-PL	|||	it 's two pieces
there is another one in the kitchen	|||	adv|there cop|be-3S qn|another pro;indef|one prep|in det;art|the n|kitchen	|||	there is another one in the kitchen
you do ~not quite finish taking it out	|||	pro;per|you mod|do neg|~not adv|quite v|finish part|take-PRESP pro;per|it adv|out	|||	you didn 't quite finish taking it out
romper bomper stomper boo	|||	wplay|romper wplay|bomper wplay|stomper wplay|boo	|||	romper bomper stomper boo
oh what do they go on	|||	co|oh pro;int|what mod|do pro;sub|they v|go adv|on	|||	oh what do they go on
pen comes out	|||	n|pen v|come-3S adv|out	|||	pen comes out
like this	|||	prep|like pro;dem|this	|||	like this
I do ~not think there is one	|||	pro;sub|I mod|do neg|~not v|think adv|there cop|be-3S pro;indef|one	|||	I don 't think there is one
no you ~be drawing for me be ~not you	|||	co|no pro;per|you aux|~be part|draw-PRESP prep|for pro;obj|me aux|be neg|~not pro;per|you	|||	no you 're drawing for me aren 't you
buy money pay	|||	n|buy n|money v|pay	|||	buy money pay
do you know what it is	|||	mod|do pro;per|you v|know pro;int|what pro;per|it cop|be-3S	|||	do you know what it is
did you tell her about the fire station that we visited	|||	v|do-PAST pro;per|you v|tell pro;obj|her prep|about det;art|the n|fire n|station pro;rel|that pro;sub|we v|visit-PAST	|||	did you tell her about the fire station that we visited
something jump	|||	pro;indef|something n|jump	|||	something jump
we ~be Jesus	|||	pro;sub|we aux|~be n;prop|Jesus	|||	we 're Jesus
been sleep	|||	aux|be-PASTP n|sleep	|||	been sleep
we saw some squirrels outside playing this morning	|||	pro;sub|we v|see-PAST qn|some n|squirrel-PL adv|outside part|play-PRESP pro;dem|this n|morning	|||	we saw some squirrels outside playing this morning
it will come off	|||	pro;per|it mod|will v|come adv|off	|||	it will come off
he do ~not make it for you	|||	pro;sub|he mod|do neg|~not v|make pro;per|it prep|for pro;per|you	|||	he didn 't make it for you
oh you better put that back in there	|||	co|oh pro;per|you adj|good-CP v|put-ZERO pro;dem|that adv|back prep|in adv|there	|||	oh you better put that back in there
down there where	|||	adv|down adv|there adv;int|where	|||	down there where
Adam did	|||	n;prop|Adam v|do-PAST	|||	Adam did
I be ~not looking	|||	pro;sub|I aux|be neg|~not part|look-PRESP	|||	I wasn 't looking
you ~will bend them	|||	pro;per|you mod|~will v|bend pro;obj|them	|||	you 'll bend them
yes it is a kind of plate	|||	co|yes pro;per|it cop|be-3S det;art|a n|kind prep|of n|plate	|||	yes it is a kind of plate
but I ~be talking to you right now	|||	conj|but pro;sub|I aux|~be part|talk-PRESP prep|to pro;per|you adv|right adv|now	|||	but I 'm talking to you right now
yes maybe	|||	co|yes adv|maybe	|||	yes maybe
Daddy ~s desk be ~not a toy is it	|||	n;prop|Daddy poss|~s n|desk cop|be neg|~not det;art|a n|toy aux|be-3S pro;per|it	|||	Daddy 's desk isn 't a toy is it
now where we live	|||	adv|now pro;rel|where pro;sub|we v|live	|||	now where we live
now it ~be night time	|||	adv|now pro;per|it cop|~be n|night n|time	|||	now it 's night time
do ~not scratch the record	|||	mod|do neg|~not v|scratch det;art|the n|record	|||	don 't scratch the record
no you do ~not need to play with the can right now	|||	co|no pro;per|you mod|do neg|~not v|need prep|to n|play prep|with det;art|the n|can adv|right adv|now	|||	no you don 't need to play with the can right now
